train_times,steps,reward,Q loss,update_QNet_times,G loss,update_G_times,D loss,update_D_times,W_D
335,752.3,-0.006255277363641036,771.9780964341597,45,-5.956235637484175,62,-1.5012992260887597,43,1.7161088325820786
340,752.3,-0.005358780181516354,760.3812129604455,45,-5.935695417342764,62,-1.487551898470252,43,1.7075321436036717
345,752.3,-0.002227044363048452,788.520394590898,45,-5.688845644081482,62,-1.496210247173181,44,1.726389779816974
350,748.0,0.0043163529918164535,833.3351839382287,46,-5.362413598648226,63,-1.4397181924324896,45,1.6672017714423362
355,748.0,0.0024850340313931248,860.4387856653387,47,-5.2638841256710025,64,-1.6692079947442289,46,1.928527339080367
360,748.0,0.00204736517544451,788.557864802505,48,-5.086939039350759,64,-1.5643466975569367,46,1.833426543652409
365,755.6,-0.004071164014680141,823.5032229873193,48,-5.1332906422892,65,-1.6957490679657348,47,1.9804992704451685
370,755.6,-0.004428406502888326,786.1216989866315,49,-4.990866621172789,66,-1.8419319334935036,48,2.135959886347405
375,749.2,-0.004958760992093964,796.8439977842388,50,-5.024698107609845,67,-1.880497400932682,48,2.182339166755628
380,789.3,-0.02015231806199279,684.9513379257664,51,-5.087837157989994,68,-1.9914011360393897,48,2.2914887617934836
385,789.3,-0.020223163292508665,746.557847894842,51,-5.240142555315085,69,-1.7048199571064213,49,1.9019026131340955
390,789.3,-0.022226657866831652,734.6184354701187,51,-5.458448896685032,70,-1.8241531685114172,50,2.0300502578393376
395,789.3,-0.025803651187317433,704.9827646428889,52,-5.723598432619162,71,-1.7783128012546499,50,1.9708197115238264
400,793.6,-0.036094294507051504,697.4419462733414,52,-6.076444530167965,72,-1.975467589285789,51,2.1924597561467776
405,793.6,-0.037731994554512996,729.1137291287508,52,-6.169746792755946,73,-1.8024618491737379,51,1.9885884817862753
410,771.9,-0.027957108533913033,720.8675420763421,53,-6.383014891454668,74,-1.867527055508975,51,2.045499787611191
415,771.9,-0.02548104433593055,675.7493601169779,54,-6.556850631963525,75,-2.011420810600053,52,2.215656576291479
420,771.9,-0.024025429585162617,742.8358450616394,54,-6.49271291010709,75,-1.8431513479856292,52,2.042744697295054
425,778.3,-0.02665510625900132,864.4379530684346,54,-6.296806385581341,75,-1.826353109381196,52,2.038258954673103
